Temperature °C,Resistance Ohms
-40,"336,479.00"
-39,"314,904.00"
-38,"294,848.00"
-37,"276,194.00"
-36,"258,838.00"
-35,"242,681.00"
-34,"227,632.00"
-33,"213,610.00"
-32,"200,539.00"
-31,"188,349.00"
-30,"176,974.00"
-29,"166,356.00"
-28,"156,441.00"
-27,"147,177.00"
-26,"138,518.00"
-25,"130,421.00"
-24,"122,847.00"
-23,"115,759.00"
-22,"109,122.00"
-21,"102,906.00"
-20,"97,081.00"
-19,"91,621.00"
-18,"86,501.00"
-17,"81,698.00"
-16,"77,190.00"
-15,"72,957.00"
-14,"68,982.00"
-13,"65,246.00"
-12,"61,736.00"
-11,"58,434.00"
-10,"55,329.00"
-9,"52,407.00"
-8,"49,656.00"
-7,"47,066.00"
-6,"44,626.00"
-5,"42,327.00"
-4,"40,159.00"
-3,"38,115.00"
-2,"36,187.00"
-1,"34,368.00"
0,"32,650.00"
1,"31,029.00"
2,"29,498.00"
3,"28,052.00"
4,"26,685.00"
5,"25,392.00"
6,"24,170.00"
7,"23,013.00"
8,"21,918.00"
9,"20,882.00"
10,"19,901.00"
11,"18,971.00"
12,"18,090.00"
13,"17,255.00"
14,"16,463.00"
15,"15,712.00"
16,"14,999.00"
17,"14,323.00"
18,"13,681.00"
19,"13,072.00"
20,"12,493.00"
21,"11,942.00"
22,"11,419.00"
23,"10,922.00"
24,"10,450.00"
25,"10,000.00"
26,"9,572.00"
27,"9,165.00"
28,"8,777.00"
29,"8,408.00"
30,"8,057.00"
31,"7,722.00"
32,"7,402.00"
33,"7,098.00"
34,"6,808.00"
35,"6,531.00"
36,"6,267.00"
37,"6,015.00"
38,"5,775.00"
39,"5,545.00"
40,"5,326.00"
41,"5,117.00"
42,"4,917.00"
43,"4,725.00"
44,"4,543.00"
45,"4,368.00"
46,"4,201.00"
47,"4,041.00"
48,"3,888.00"
49,"3,742.00"
50,"3,602.00"
51,"3,468.00"
52,"3,340.00"
53,"3,217.00"
54,"3,099.00"
55,"2,986.00"
56,"2,878.00"
57,"2,774.00"
58,"2,675.00"
59,"2,579.00"
60,"2,488.00"
61,"2,400.00"
62,"2,316.00"
63,"2,235.00"
64,"2,157.00"
65,"2,083.00"
66,"2,011.00"
67,"1,942.00"
68,"1,876.00"
69,"1,813.00"
70,"1,752.00"
71,"1,693.00"
72,"1,637.00"
73,"1,582.00"
74,"1,530.00"
75,"1,480.00"
76,"1,432.00"
77,"1,385.00"
78,"1,340.00"
79,"1,297.00"
80,"1,255.00"
81,"1,215.00"
82,"1,177.00"
83,"1,140.00"
84,"1,104.00"
85,"1,070.00"
86,"1,037.00"
87,"1,005.00"
88,973.80
89,944.10
90,915.50
91,887.80
92,861.20
93,835.40
94,810.60
95,786.60
96,763.50
97,741.20
98,719.60
99,698.70
100,678.60
101,659.10
102,640.30
103,622.20
104,604.60
105,587.60
